timestamp,index_gpu,name,pci_bus_id,gpu_utilization,gpu_memory_utilization,gpu_memory_used,gpu_memory_free,gpu_memory_total
2023-06-22 18:59:10, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,16,571,7411,8192
2023-06-22 18:59:11, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,571,7411,8192
2023-06-22 18:59:12, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,34,16,571,7411,8192
2023-06-22 18:59:13, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,571,7411,8192
2023-06-22 18:59:14, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,14,571,7411,8192
2023-06-22 18:59:15, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,41,22,572,7409,8192
2023-06-22 18:59:16, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,14,573,7409,8192
2023-06-22 18:59:17, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,16,3,569,7413,8192
2023-06-22 18:59:18, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,12,569,7413,8192
2023-06-22 18:59:19, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,569,7413,8192
2023-06-22 18:59:20, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,568,7413,8192
2023-06-22 18:59:21, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,21,568,7413,8192
2023-06-22 18:59:23, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,11,566,7415,8192
2023-06-22 18:59:24, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,2,566,7415,8192
2023-06-22 18:59:25, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,11,566,7415,8192
2023-06-22 18:59:26, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,40,22,566,7415,8192
2023-06-22 18:59:27, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,566,7415,8192
2023-06-22 18:59:28, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,23,12,566,7415,8192
2023-06-22 18:59:29, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,21,566,7415,8192
2023-06-22 18:59:30, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,566,7415,8192
2023-06-22 18:59:31, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,32,17,594,7388,8192
2023-06-22 18:59:32, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,18,7,594,7388,8192
2023-06-22 18:59:33, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,2,584,7397,8192
2023-06-22 18:59:34, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,14,584,7397,8192
2023-06-22 18:59:35, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,42,23,584,7397,8192
2023-06-22 18:59:36, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,568,7413,8192
2023-06-22 18:59:37, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,15,568,7413,8192
2023-06-22 18:59:38, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,568,7413,8192
2023-06-22 18:59:39, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,31,14,568,7413,8192
2023-06-22 18:59:40, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,568,7413,8192
2023-06-22 18:59:41, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,21,568,7413,8192
2023-06-22 18:59:42, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,568,7413,8192
2023-06-22 18:59:43, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,568,7413,8192
2023-06-22 18:59:44, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,19,568,7413,8192
2023-06-22 18:59:45, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,38,21,568,7413,8192
2023-06-22 18:59:46, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,23,6,568,7413,8192
2023-06-22 18:59:47, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,2,568,7413,8192
2023-06-22 18:59:48, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,35,14,568,7413,8192
2023-06-22 18:59:49, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,568,7413,8192
2023-06-22 18:59:50, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,568,7413,8192
2023-06-22 18:59:51, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,568,7413,8192
2023-06-22 18:59:52, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,37,20,568,7413,8192
2023-06-22 18:59:53, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,39,21,568,7413,8192
2023-06-22 18:59:54, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,16,3,568,7413,8192
2023-06-22 18:59:55, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,2,568,7413,8192
2023-06-22 18:59:56, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,30,16,568,7413,8192
2023-06-22 18:59:58, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,15,568,7413,8192
2023-06-22 18:59:59, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,26,13,568,7413,8192
2023-06-22 19:00:00, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,10,594,7388,8192
2023-06-22 19:00:01, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,34,17,594,7388,8192
2023-06-22 19:00:02, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,594,7388,8192
2023-06-22 19:00:03, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,35,19,594,7388,8192
2023-06-22 19:00:04, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,629,7352,8192
2023-06-22 19:00:05, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,26,7,630,7352,8192
2023-06-22 19:00:06, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,15,2,627,7354,8192
2023-06-22 19:00:07, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,25,4,675,7306,8192
2023-06-22 19:00:08, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,5,1,671,7311,8192
2023-06-22 19:00:09, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,13,5,662,7319,8192
2023-06-22 19:00:10, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,5,658,7323,8192
2023-06-22 19:00:11, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,13,9,647,7334,8192
2023-06-22 19:00:12, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,21,12,627,7355,8192
2023-06-22 19:00:13, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,8,601,7381,8192
2023-06-22 19:00:14, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,9,7,597,7385,8192
2023-06-22 19:00:15, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,27,13,597,7385,8192
2023-06-22 19:00:16, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,11,7,597,7385,8192
2023-06-22 19:00:17, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,29,13,598,7383,8192
2023-06-22 19:00:18, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,22,10,598,7383,8192
2023-06-22 19:00:19, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,16,10,596,7386,8192
2023-06-22 19:00:20, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,13,8,596,7386,8192
2023-06-22 19:00:21, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,7,591,7391,8192
2023-06-22 19:00:22, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,7,588,7394,8192
2023-06-22 19:00:23, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,7,588,7394,8192
2023-06-22 19:00:24, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,19,10,587,7394,8192
2023-06-22 19:00:25, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,10,8,587,7394,8192
2023-06-22 19:00:26, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,6,6,587,7394,8192
2023-06-22 19:00:27, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,17,9,587,7394,8192
2023-06-22 19:00:28, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,15,9,587,7395,8192
2023-06-22 19:00:29, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,9,7,587,7395,8192
2023-06-22 19:00:30, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,6,6,587,7395,8192
2023-06-22 19:00:31, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,587,7395,8192
2023-06-22 19:00:32, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,8,7,586,7395,8192
2023-06-22 19:00:33, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,9,7,586,7395,8192
2023-06-22 19:00:34, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,24,12,586,7395,8192
2023-06-22 19:00:35, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,7,1,594,7387,8192
2023-06-22 19:00:36, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,1,0,594,7387,8192
2023-06-22 19:00:37, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,4,3,594,7387,8192
2023-06-22 19:00:38, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,3,3,594,7387,8192
2023-06-22 19:00:39, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,10,8,594,7387,8192
2023-06-22 19:00:40, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,6,6,581,7400,8192
2023-06-22 19:00:41, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,20,11,584,7398,8192
2023-06-22 19:00:42, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,28,9,603,7378,8192
2023-06-22 19:00:43, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,14,3,600,7382,8192
2023-06-22 19:00:45, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0,3,1,604,7378,8192
